iter	Passed	Remaining
0	0	75
1	1	69
2	1	64
3	3	73
4	3	73
5	4	71
6	5	68
7	5	67
8	6	65
9	7	63
10	7	64
11	9	69
12	10	69
13	11	69
14	12	69
15	13	68
16	14	69
17	15	68
18	16	68
19	17	68
20	17	67
21	18	66
22	19	65
23	21	66
24	22	66
25	23	68
26	24	67
27	25	66
28	26	65
29	27	64
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	51
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	52	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	65	15
81	66	14
82	67	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	71	7
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	78	0
